Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Muggle Studies,Transfiguration,Care of Magical Creatures
0,Ravenclaw,Tamara,Hsu,2000-03-30,Left,58384,-487.886086,5.727180299,4.87886086,272.0358314,1039.788281,0.715939127
1,Slytherin,Erich,Paredes,1999-10-14,Right,67239,-552.0605073,-5.98744578,5.520605073,-487.3405573,1058.944592,0.09167418392
2,Ravenclaw,Stephany,Braun,1999-11-03,Left,23702,-366.0761169,7.725016606,3.660761169,664.8935212,1088.088348,-0.5153268463
3,Gryffindor,Vesta,Mcmichael,2000-08-19,Left,32667,697.7428088,-6.497214445,-6.977428088,-537.0011284,920.3914493,-0.01404041724
4,Gryffindor,Gaston,Gibbs,1998-09-27,Left,60158,436.7752036,-7.820623052,,-444.2625366,937.4347241,-0.2640700765
5,Slytherin,Corrine,Hammond,1999-04-04,Right,21209,-613.6871604,-4.289196727,6.136871604,-440.9977043,1052.845164,1.049894068
6,Gryffindor,Tom,Guido,2000-09-30,Left,49167,628.0460512,-4.86197624,-6.280460512,-926.8925116,923.5395733,0.1530218296
7,Hufflepuff,Alicia,Hayward,1997-07-08,Right,33010,411.4127268,5.931831618,-4.114127268,-502.0213361,1041.091935,-0.1717044523
8,Gryffindor,Bella,Leatherman,1998-12-07,Left,20278,496.394945,-5.215891146,-4.96394945,-626.5520411,925.2555004,1.147031527
9,Hufflepuff,Hayden,Aponte,2001-10-13,Right,46316,527.1935851,7.922205496,-5.271935851,-398.1019909,1041.414665,-0.5295785036
10,Hufflepuff,Antonio,Denning,1998-05-21,Right,35619,604.9339619,5.484188548,-6.049339619,-530.7958956,1036.285357,-0.4965534984
11,Hufflepuff,Neville,Hall,2001-02-16,Left,46550,438.5569496,5.320518358,-4.385569496,-518.5607177,1046.761958,-0.9196387437
12,Hufflepuff,Rocky,Trask,2000-03-13,Right,26647,709.0946138,1.705388932,-7.090946138,-328.7129553,1037.028317,-0.9391444307
13,Slytherin,Fred,Simms,1997-02-27,Left,37984,-544.1920488,-7.30885599,5.441920488,-319.9468753,1082.581409,1.773886679
14,Ravenclaw,Jan,Saylor,1998-03-16,Right,44791,-197.5273177,2.742444434,1.975273177,527.356323,1063.522361,-1.112649114
15,Ravenclaw,Long,Burks,2001-10-03,Left,21630,-447.6498122,4.046727137,4.476498122,810.1544831,1075.85385,0.5670955444
16,Gryffindor,Fran,Jorgensen,1997-09-23,Left,41907,470.6537566,-5.518263686,-4.706537566,-434.2932661,967.2239117,-1.135957012
17,Gryffindor,Freddie,Ward,2001-05-31,Left,58796,651.1987486,-4.820770853,-6.511987486,-468.2847232,935.5792903,0.1736145483
18,Ravenclaw,Tyrone,Cooley,2000-03-09,Right,15578,-151.0882087,6.871857338,1.510882087,645.4474512,1091.054831,0.2605563047
19,Hufflepuff,Elden,Scholl,1999-04-18,Right,56909,458.1270261,6.981588543,-4.581270261,-579.6685909,1052.035235,0.07020553426
20,Gryffindor,Mel,Marion,1998-12-20,Left,,703.5535475,-3.858216489,-7.035535475,-433.2503586,944.9723856,0.1625012864
21,Gryffindor,Pansy,Mosher,1999-12-15,Left,31882,689.3561417,-5.763157764,-6.893561417,-16.51943239,961.1128279,1.562779534
22,Ravenclaw,Joseph,Coulter,2001-08-22,Left,39873,-264.678311,5.949951054,2.64678311,745.4656657,1079.549395,0.3643870721
