Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Divination,Ancient Runes,History of Magic,Potions,Charms,Flying
0,Ravenclaw,Tamara,Hsu,2000-03-30,Left,4.722,532.4842261,5.231058287,3.790369066,-232.79405,-26.89
1,Slytherin,Erich,Paredes,1999-10-14,Right,-5.612,367.760303,4.107170287,7.248741976,-252.18425,-113.45
2,Ravenclaw,Stephany,Braun,1999-11-03,Left,6.14,602.5852838,3.555578996,8.728530921,-227.34265,30.42
3,Gryffindor,Vesta,Mcmichael,2000-08-19,Left,4.026,523.9821332,-4.809636607,0.8219105006,-256.84675,200.64
4,Gryffindor,Gaston,Gibbs,1998-09-27,Left,2.236,599.3245143,-3.444376575,4.311065821,-256.3873,157.98
5,Slytherin,Corrine,Hammond,1999-04-04,Right,-6.592,396.2018039,5.380285949,11.75121204,-247.94549,-34.69
6,Gryffindor,Tom,Guido,2000-09-30,Left,,583.7424423,-7.322486416,1.646666139,-257.83447,261.55
7,Hufflepuff,Alicia,Hayward,1997-07-08,Right,2.769,439.3514157,,6.581791319,-244.03492,72.25
8,Gryffindor,Bella,Leatherman,1998-12-07,Left,5.855,567.8424016,-6.198661229,1.086517821,-252.27561,244.11
9,Hufflepuff,Hayden,Aponte,2001-10-13,Right,3.356,341.4756056,4.97861353,2.068824179,-244.57527,-0.09
10,Hufflepuff,Antonio,Denning,1998-05-21,Right,5.358,484.8726713,5.699653562,9.293131895,-242.69168,64.61
11,Hufflepuff,Neville,Hall,2001-02-16,Left,3.014,417.0640933,4.801436593,6.376965576,-244.91344,20.66
12,Hufflepuff,Rocky,Trask,2000-03-13,Right,7.091,435.5021828,6.300649175,8.110274496,-244.00363,7.56
13,Slytherin,Fred,Simms,1997-02-27,Left,-6.18,391.6529163,2.914731888,10.94879087,-251.12516,-80.42
14,Ravenclaw,Jan,Saylor,1998-03-16,Right,6.603,605.5906004,5.480097322,9.407484156,-232.65964,-19.94
15,Ravenclaw,Long,Burks,2001-10-03,Left,4.949,615.5310876,3.65349456,9.622899466,-229.38229,17
16,Gryffindor,Fran,Jorgensen,1997-09-23,Left,4.425,596.6100889,-4.161822974,5.027414761,-252.27344,174.27
17,Gryffindor,Freddie,Ward,2001-05-31,Left,4.357,626.372886,-5.206672042,3.063206624,-254.92326,212.37
18,Ravenclaw,Tyrone,Cooley,2000-03-09,Right,7.906,607.4427291,6.317446315,11.70877739,-226.76896,11.22
19,Hufflepuff,Elden,Scholl,1999-04-18,Right,5.686,403.3276903,4.265809754,3.456518989,-242.99904,3.81
20,Gryffindor,Mel,Marion,1998-12-20,Left,5.866,610.7326696,-5.029523289,3.03589067,-252.72548,215.2
21,Gryffindor,Pansy,Mosher,1999-12-15,Left,5.942,,-1.974446893,4.431963256,-251.21916,136.89
22,Ravenclaw,Joseph,Coulter,2001-08-22,Left,6.829,626.8233316,4.886733221,9.318098488,-228.79359,-1.72
23,Hufflepuff,Rosie,Tuggle,1999-07-05,Left,9.421,461.8967342,0.531822869,6.346026797,-245.83067,23.46
